time_days,temperature_k,humidity,wind_speed_m_s,dust_thickness,pce_with_environment,etr_with_environment
0.000000e+00,2.930000e+02,6.414214e-01,4.766530e+00,1.140330e-01,1.688045e-01,8.936711e-01
1.002747e+00,2.931726e+02,6.438413e-01,4.437083e+00,1.330836e-01,1.686099e-01,8.926404e-01
2.005495e+00,2.933452e+02,6.462184e-01,4.012086e+00,1.523293e-01,1.684132e-01,8.915992e-01
3.008242e+00,2.935176e+02,6.485519e-01,3.091442e+00,1.725144e-01,1.682069e-01,8.905074e-01
4.010989e+00,2.936899e+02,6.508412e-01,3.689833e+00,1.900747e-01,1.680275e-01,8.895573e-01
5.013736e+00,2.938620e+02,6.530855e-01,3.661221e+00,2.086496e-01,1.678377e-01,8.885524e-01
6.016484e+00,2.940338e+02,6.552842e-01,3.484083e+00,2.274986e-01,1.676451e-01,8.875328e-01
7.019231e+00,2.942054e+02,6.574367e-01,4.116706e+00,2.443531e-01,1.674729e-01,8.866210e-01
8.021978e+00,2.943765e+02,6.595422e-01,4.083148e+00,2.626571e-01,1.672858e-01,8.856309e-01
9.024725e+00,2.945473e+02,6.616002e-01,4.351600e+00,2.800535e-01,1.671081e-01,8.846899e-01
1.002747e+01,2.947176e+02,6.636101e-01,4.368434e+00,2.980315e-01,1.669244e-01,8.837175e-01
1.103022e+01,2.948874e+02,6.655712e-01,4.771637e+00,3.147130e-01,1.667540e-01,8.828151e-01
1.203297e+01,2.950566e+02,6.674830e-01,4.589777e+00,3.331275e-01,1.665659e-01,8.818193e-01
1.303571e+01,2.952252e+02,6.693448e-01,4.780945e+00,3.502276e-01,1.663912e-01,8.808944e-01
1.403846e+01,2.953932e+02,6.711563e-01,3.506467e+00,3.726117e-01,1.661626e-01,8.796844e-01
1.504121e+01,2.955604e+02,6.729167e-01,4.976542e+00,3.847345e-01,1.660387e-01,8.790283e-01
1.604396e+01,2.957269e+02,6.746256e-01,4.347891e+00,4.047611e-01,1.658342e-01,8.779456e-01
1.704670e+01,2.958925e+02,6.762824e-01,4.785060e+00,4.204490e-01,1.656739e-01,8.770972e-01
1.804945e+01,2.960573e+02,6.778868e-01,3.994305e+00,4.413087e-01,1.654609e-01,8.759697e-01
1.905220e+01,2.962212e+02,6.794381e-01,4.754972e+00,4.552839e-01,1.653182e-01,8.752138e-01
2.005495e+01,2.963841e+02,6.809360e-01,4.767603e+00,4.724744e-01,1.651426e-01,8.742844e-01
2.105769e+01,2.965460e+02,6.823800e-01,3.956413e+00,4.936415e-01,1.649265e-01,8.731404e-01
2.206044e+01,2.967069e+02,6.837696e-01,4.922940e+00,5.059770e-01,1.648005e-01,8.724732e-01
2.306319e+01,2.968667e+02,6.851045e-01,3.789888e+00,5.289518e-01,1.645660e-01,8.712317e-01
2.406593e+01,2.970253e+02,6.863842e-01,4.022201e+00,5.448250e-01,1.644039e-01,8.703737e-01
2.506868e+01,2.971827e+02,6.876084e-01,3.093974e+00,5.670968e-01,1.641766e-01,8.691702e-01
2.607143e+01,2.973388e+02,6.887767e-01,3.813914e+00,5.800282e-01,1.640445e-01,8.684711e-01
2.707418e+01,2.974937e+02,6.898887e-01,4.115617e+00,5.951614e-01,1.638900e-01,8.676531e-01
2.807692e+01,2.976472e+02,6.909442e-01,3.508876e+00,6.156987e-01,1.636804e-01,8.665434e-01
2.907967e+01,2.977994e+02,6.919427e-01,4.507162e+00,6.262631e-01,1.635725e-01,8.659722e-01
3.008242e+01,2.979501e+02,6.928841e-01,4.687524e+00,6.417181e-01,1.634148e-01,8.651370e-01
3.108516e+01,2.980993e+02,6.937680e-01,4.260815e+00,6.610502e-01,1.631526e-01,8.639209e-01
3.208791e+01,2.982470e+02,6.945942e-01,4.308377e+00,6.772495e-01,1.628910e-01,8.627908e-01
3.309066e+01,2.983932e+02,6.953624e-01,3.141723e+00,7.018376e-01,1.625452e-01,8.612115e-01
3.409341e+01,2.985377e+02,6.960724e-01,4.926958e+00,7.057001e-01,1.624117e-01,8.607534e-01
3.509615e+01,2.986806e+02,6.967240e-01,4.082890e+00,7.280350e-01,1.620914e-01,8.593024e-01
3.609890e+01,2.988219e+02,6.973169e-01,3.294239e+00,7.502161e-01,1.617741e-01,8.578634e-01
3.710165e+01,2.989613e+02,6.978511e-01,4.158612e+00,7.599697e-01,1.615844e-01,8.570977e-01
3.810440e+01,2.990990e+02,6.983263e-01,4.099040e+00,7.765776e-01,1.613263e-01,8.559661e-01
