time_days,temperature_k,humidity,wind_speed_m_s,dust_thickness,pce_with_environment,etr_with_environment
0.000000e+00,2.930000e+02,6.414214e-01,3.657279e+00,1.153049e-01,1.687916e-01,8.936024e-01
1.002747e+00,2.931726e+02,6.438413e-01,4.646512e+00,1.328052e-01,1.686127e-01,8.926555e-01
2.005495e+00,2.933452e+02,6.462184e-01,3.161742e+00,1.536301e-01,1.683999e-01,8.915290e-01
3.008242e+00,2.935176e+02,6.485519e-01,4.766207e+00,1.696492e-01,1.682362e-01,8.906621e-01
4.010989e+00,2.936899e+02,6.508412e-01,3.223551e+00,1.909630e-01,1.680184e-01,8.895093e-01
5.013736e+00,2.938620e+02,6.530855e-01,4.217289e+00,2.074926e-01,1.678495e-01,8.886149e-01
6.016484e+00,2.940338e+02,6.552842e-01,3.982004e+00,2.263686e-01,1.676566e-01,8.875938e-01
7.019231e+00,2.942054e+02,6.574367e-01,4.853469e+00,2.425594e-01,1.674911e-01,8.867178e-01
8.021978e+00,2.943765e+02,6.595422e-01,4.340813e+00,2.619812e-01,1.672927e-01,8.856674e-01
9.024725e+00,2.945473e+02,6.616002e-01,3.143282e+00,2.834580e-01,1.670734e-01,8.845061e-01
1.002747e+01,2.947176e+02,6.636101e-01,4.701727e+00,2.970398e-01,1.669345e-01,8.837710e-01
1.103022e+01,2.948874e+02,6.655712e-01,4.282761e+00,3.162553e-01,1.667382e-01,8.827319e-01
1.203297e+01,2.950566e+02,6.674830e-01,3.272293e+00,3.375454e-01,1.665208e-01,8.815808e-01
1.303571e+01,2.952252e+02,6.693448e-01,4.261517e+00,3.520515e-01,1.663726e-01,8.807960e-01
1.403846e+01,2.953932e+02,6.711563e-01,3.907570e+00,3.711202e-01,1.661778e-01,8.797649e-01
1.504121e+01,2.955604e+02,6.729167e-01,3.231289e+00,3.915080e-01,1.659696e-01,8.786627e-01
1.604396e+01,2.957269e+02,6.746256e-01,3.246567e+00,4.092435e-01,1.657885e-01,8.777037e-01
1.704670e+01,2.958925e+02,6.762824e-01,3.303185e+00,4.267260e-01,1.656099e-01,8.767584e-01
1.804945e+01,2.960573e+02,6.778868e-01,4.227824e+00,4.402793e-01,1.654714e-01,8.760252e-01
1.905220e+01,2.962212e+02,6.794381e-01,3.392691e+00,4.615286e-01,1.652545e-01,8.748767e-01
2.005495e+01,2.963841e+02,6.809360e-01,3.676279e+00,4.776588e-01,1.650897e-01,8.740045e-01
2.105769e+01,2.965460e+02,6.823800e-01,4.235025e+00,4.922681e-01,1.649405e-01,8.732146e-01
2.206044e+01,2.967069e+02,6.837696e-01,3.592267e+00,5.127549e-01,1.647314e-01,8.721073e-01
