time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,qfi,entropy,purity,linear_entropy,simulator,n_traj_used,max_hierarchy_used
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32347.760000000006,1.6578612669557127e-10,1.0,0.0,MesoHOPS,1.0,10.0
2.0,0.9806431228269848,0.0010832364855715964,4.692453612000633e-06,4.817462765800071e-06,6.36579322013709e-06,2.5235501972970248e-05,1.3028429316973883e-05,0.0971253815814106,32318.976470537127,1.6578612669557127e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
4.0,0.9762659782560827,0.00428199937546253,2.1242545396438428e-05,1.919633346137038e-05,2.688347785825583e-05,9.585761222822783e-05,4.8819291075626026e-05,0.19527559897148672,32220.31106159311,1.657863487401762e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
6.0,0.9685422077924409,0.009532202549956058,5.580063219573983e-05,4.166208231132434e-05,6.407397143477336e-05,0.0002010536694540832,0.00010252191611963884,0.2938722051595869,31996.605165382698,1.6578568260636142e-10,1.0000000000000004,-4.440892098500626e-16,MesoHOPS,1.0,10.0
8.0,0.959194782083942,0.016552580839695023,0.0001164784128000073,7.25480780191735e-05,0.00011625228571161342,0.00033062956508490946,0.00017669273326285643,0.39142666470727205,31731.671688928458,1.6578657078478112e-10,1.0,0.0,MesoHOPS,1.0,10.0
10.0,0.9346905423272831,0.024888857982333402,0.00021540052602120024,0.00010999359323768692,0.0001865591788532311,0.0004686872588024356,0.0002626296698897953,0.4821404487634654,31053.100185510924,1.6578679282938604e-10,0.9999999999999996,4.440892098500626e-16,MesoHOPS,1.0,10.0
12.0,0.8997839650940572,0.03488375248580246,0.0003520659667897365,0.0001535277420855317,0.00026483617996660445,0.00062534228802696,0.0003472170002109847,0.5676702958072106,30392.776626565807,1.6578668180708358e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
14.0,0.8691859476093593,0.04528455156825811,0.0005462368162372735,0.00020749527566632931,0.0003539334891056171,0.0007637121913276322,0.00044490327369664496,0.6467651389984702,29521.771057672424,1.6578568260636142e-10,1.0000000000000004,-4.440892098500626e-16,MesoHOPS,1.0,10.0
16.0,0.8212103144221068,0.05647246082844539,0.0008250710164868569,0.00026975251843451895,0.0004558950962154164,0.0008936063100044128,0.0005325408254487543,0.715307398514437,28692.636054735754,1.6578612669557127e-10,0.9999999999999998,2.220446049250313e-16,MesoHOPS,1.0,10.0
18.0,0.7804446611174739,0.06764483632379914,0.0012041941813503156,0.000344402967746848,0.0005626994901327388,0.0009903677676969768,0.0006289232559253743,0.7790196004274694,27467.6665056494,1.6578590465096634e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
20.0,0.732698731659048,0.07799232269958997,0.0016377900493415522,0.00043338279520112587,0.000675767320778368,0.0010846215955979165,0.0007121798982168711,0.8286804200131508,26234.696367664324,1.657863487401762e-10,0.9999999999999997,3.3306690738754696e-16,MesoHOPS,1.0,10.0
22.0,0.6853315687948329,0.0886375701525603,0.0022093109326395814,0.0005222750898980845,0.0007802765328356953,0.0011598573408026962,0.000785282769711434,0.8729242689531155,24882.48259271813,1.6578590465096634e-10,0.9999999999999999,1.1102230246251565e-16,MesoHOPS,1.0,10.0
24.0,0.6391056795652765,0.0975656574709116,0.0029655553475776454,0.0006250575690389777,0.0009101513577660556,0.0012174625774301563,0.0008712839102133858,0.9101039246834823,22855.973510228614,1.6578612669557127e-10,0.9999999999999996,4.440892098500626e-16,MesoHOPS,1.0,10.0
26.0,0.5791839856442244,0.10859119032040755,0.0037468515912937287,0.0007288331132941325,0.0010192075776732543,0.0012529378337863167,0.0009528924089634439,0.9351827280640643,21089.387824683632,1.6578612669557127e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
28.0,0.5264423752707829,0.12085372370144562,0.004699007759825048,0.00087025864168425,0.0011253435076221683,0.0012273405733411685,0.0010007988344082307,0.9604123591667559,20173.939289133697,1.6578623771787373e-10,1.0,0.0,MesoHOPS,1.0,10.0
30.0,0.48657694997516365,0.12913712515515274,0.0057514561064101796,0.0010289085056498345,0.001225903055646093,0.0011601730369224421,0.0010514311557578288,0.9776398955485325,19464.556121451897,1.6578568260636142e-10,1.0,0.0,MesoHOPS,1.0,10.0
32.0,0.4539304971090212,0.13436192358792823,0.006884832585664618,0.001191116783030525,0.0013185811800224933,0.0011273185360879214,0.0010506402124657631,0.9879534148920598,18150.39277547367,1.6578645976247866e-10,0.9999999999999998,2.220446049250313e-16,MesoHOPS,1.0,10.0
34.0,0.4080343387701158,0.1378035368332856,0.008331983544962056,0.0014023453865443566,0.001436340219664517,0.0010558292158958827,0.0010545969538040577,0.9824252903682374,16377.751035338431,1.6578623771787373e-10,0.9999999999999998,2.220446049250313e-16,MesoHOPS,1.0,10.0
36.0,0.36493230635487917,0.14042303347662508,0.009838703179753905,0.0016339836139949244,0.001543249753574233,0.0009678342432054657,0.001038431002889738,0.9706066486558084,15764.208622212343,1.6578612669557127e-10,1.0000000000000004,-4.440892098500626e-16,MesoHOPS,1.0,10.0
38.0,0.3274411531179269,0.14136566264445996,0.011571617538801959,0.0018513291722179154,0.0016393380303995114,0.0008979382637840112,0.0010222502086777861,0.9571799042462451,14927.106378432902,1.657863487401762e-10,1.0000000000000002,-2.220446049250313e-16,MesoHOPS,1.0,10.0
40.0,0.29612820490514286,0.14374743257283734,0.013336672053933836,0.002038257517832875,0.0016697587339967693,0.0008227449867383866,0.0009810227333990728,0.945065067852253,14946.981911037263,1.6578590465096634e-10,1.0,0.0,MesoHOPS,1.0,10.0
