time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherence_l1_norm,qfi,etr
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18755887435609264,0.0
1.002004008016032,0.9999966026583097,1.9161604426259047e-06,6.952447976448126e-08,4.827847498171659e-08,1.5642277692542868e-07,7.724493910628069e-07,4.345061249548778e-07,0.0076123598757213825,0.18755887475087396,6.952447976448126e-08
2.004008016032064,0.999986412706626,7.663424379497502e-06,2.781007699388275e-07,1.930869247862521e-07,6.256099187081251e-07,3.0892914654851365e-06,1.73777991563583e-06,0.015243432132844402,0.1875588775056054,2.781007699388275e-07
3.006012024048096,0.9999694333784379,1.7239824239369796e-05,6.257984804591506e-07,4.34386866402171e-07,1.4074553503371199e-06,6.949687053989096e-06,3.909469571537281e-06,0.02289316421236444,0.18755888498182574,6.257984804591506e-07
4.008016032064128,0.9999456680716163,3.0643203993616464e-05,1.1127742443622992e-06,7.721424560780539e-07,2.5018739108912177e-06,1.2352690407741205e-05,6.949243371013121e-06,0.030561504302267097,0.18755889954107383,1.1127742443622992e-06
5.0100200400801596,0.9999151203482034,4.787121940475225e-05,1.7392716008962675e-06,1.206320485355927e-06,3.908801306252915e-06,1.9297249354698522e-05,1.085678964462725e-05,0.03824840130376216,0.1875589235385338,1.7392716008962675e-06
6.012024048096192,0.999877793934195,6.89213382897544e-05,2.505620870952139e-06,1.7368903728653802e-06,5.628194050928796e-06,2.778220547061511e-05,1.5631816749771815e-05,0.045953804796995276,0.18755895932859548,2.505620870952139e-06
7.014028056112224,0.999833692719315,9.379084079814779e-05,3.412239024829862e-06,2.3638241518934586e-06,7.66002939900876e-06,3.780629426467024e-05,2.1274053046548057e-05,0.053677665006274425,0.18755900925373384,3.412239024829862e-06
8.016032064128256,0.9997828207567802,0.000122476819704819,4.459629542350007e-06,3.0870964537472006e-06,1.0004305264299257e-05,4.93681453796774e-05,2.778324687490432e-05,0.061419932764849375,0.18755907567787056,4.459629542350007e-06
9.018036072144287,0.9997251822630606,0.00015497618071751948,5.64838226532346e-06,3.90668448692737e-06,1.266104012966851e-05,6.246628280682944e-05,3.515916653302499e-05,0.06918055947928167,0.1875591609434806,5.64838226532346e-06
10.020040080160319,0.9996607816176291,0.00019128564279902014,6.979173242390949e-06,4.822568012133735e-06,1.5630272945644542e-05,7.70991251149336e-05,4.340160025696359e-05,0.07695949709344374,0.1875592673954219,6.979173242390949e-06
11.02204408817635,0.999589623362703,0.00023140173850387524,8.452764566244076e-06,5.834729313123924e-06,1.8912063018309478e-05,9.326498569408631e-05,5.251035620151253e-05,0.08475669805218569,0.18755939738093524,8.452764566244076e-06
12.024048096192384,0.9995117122029811,0.000275320814329753,1.0070004203239384e-05,6.943153163449588e-06,2.250648988653657e-05,0.0001109620730137351,6.248526242230159e-05,0.09257211526470795,0.18755955324090698,1.0070004203239384e-05
13.026052104208416,0.9994270530053694,0.0003230390310832893,1.1831825815417015e-05,8.147826789095392e-06,2.6413653188619007e-05,0.00013018849089507334,7.332616685911639e-05,0.10040570206767908,0.18755973731225165,1.1831825815417015e-05
14.028056112224448,0.9993356507987012,0.00037455236426041784,1.3739248574935062e-05,9.448739827047935e-06,3.063367251834225e-05,0.00015094223879770879,8.503293732042777e-05,0.10825741218813673,0.18755995194300445,1.3739248574935062e-05
15.03006012024048,0.9992375107734479,0.00042985660444112925,1.5793376970930965e-05,1.0845884279823477e-05,3.516668727055461e-05,0.00017322121212054602,9.760546146912188e-05,0.11612719970621008,0.1875601994605481,1.5793376970930965e-05
16.03206412825651,0.9991326382814241,0.0004889473576986115,1.7995400608820852e-05,1.2339254465984952e-05,4.0012856476293285e-05,0.00019702320251681875,0.00011104364680942103,0.12401501901770233,0.1875604822025915,1.7995400608820852e-05
17.034068136272545,0.9990210388354829,0.0005518200460227183,2.034659400204786e-05,1.3928846966680497e-05,4.5172358627525775e-05,0.00022234589822320628,0.0001253474206749838,0.13192082479657086,0.187560802500489,2.034659400204786e-05
18.036072144288575,0.9989027181092052,0.0006184699077577173,2.2848316356290077e-05,1.561466056823726e-05,5.0645391491569354e-05,0.00024918688440296534,0.0001405167302181731,0.139844571957342,0.1875611626887722,2.2848316356290077e-05
19.03807615230461,0.9987776819365801,0.0006888919980542597,2.5502011346139066e-05,1.739669620084607e-05,5.6432171915254064e-05,0.0002775436435030065,0.0001565515424004794,0.14778621561749855,0.18756156509561805,2.5502011346139066e-05
20.040080160320638,0.998645936311679,0.0007630811893355191,2.8309206884259188e-05,1.9274956873373836e-05,6.253293561889698e-05,0.0003074135556248385,0.0001734518439840875,0.15574571105987484,0.1875620120484093,2.8309206884259188e-05
21.04208416833667,0.998507487388321,0.0008410321717774447,3.1271514883038575e-05,2.1249447604342685e-05,6.89479369801585e-05,0.0003387938989093077,0.0001912176415245718,0.1637230136950967,0.18756250587293988,3.1271514883038575e-05
22.0440881763527,0.9983623414797315,0.0009227394538030633,3.4390631008741875e-05,2.3320175349115836e-05,7.567744880785369e-05,0.00037168184993504954,0.00020984896136470754,0.1717180790241005,0.1875630488886492,3.4390631008741875e-05
23.046092184368735,0.9982105050581919,0.001008197362590777,3.766833442817509e-05,2.548714892333235e-05,8.272176210579474e-05,0.0004060744841305722,0.00022934584962938263,0.17973086260076573,0.18756364342212561,3.766833442817509e-05
