wavelength_nm,solar_irradiance,transmission_func_0,transmission_func_1
300.0,0.0,0.8,1.2546548437853677e-40
302.0,0.0,0.8,1.4642438623573892e-39
304.0,0.0,0.8,1.6013395372479267e-38
306.0,0.0,0.8,1.6442347371789987e-37
308.0,0.0,0.8,1.5880180184900637e-36
310.0,0.0,0.8,1.4452120129541253e-35
312.0,1.2143303576239666,0.8,1.2414782836619622e-34
314.0,1.2374541547681857,0.8,1.0083229363654743e-33
316.0,1.260615576061409,0.8,7.755508541910045e-33
318.0,1.2838087817825607,0.8,5.657763377489845e-32
320.0,1.3070280303367778,0.8,3.9206168218108423e-31
322.0,1.330267679637905,0.8,2.5844537665944818e-30
324.0,1.3535221883137307,0.8,1.6229185612012566e-29
326.0,1.3767861167413324,0.8,9.721362294522615e-29
328.0,1.4000541279195968,0.8,5.561982179025267e-28
330.0,1.423320988185486,0.8,3.0433734121110266e-27
332.0,1.4465815677802176,0.8,1.59454726131929e-26
334.0,1.4698308412708367,0.8,8.009257193503011e-26
336.0,1.4930638878320661,0.8,3.8611748102132154e-25
338.0,1.5162758913924157,0.8,1.7885573700912306e-24
340.0,1.5394621406476086,0.8,7.969131281441634e-24
342.0,1.5626180289432403,0.8,3.4189878248161846e-23
344.0,1.5857390540272662,0.8,1.4138461915718468e-22
346.0,1.6088208176713708,0.8,5.64092993988546e-22
348.0,1.6318590251585483,0.8,2.1734811135975147e-21
350.0,1.6548494846321802,0.8,8.095014708567946e-21
352.0,1.6777881062997229,0.8,2.916914762797929e-20
354.0,1.700670901481569,0.8,1.0177709496968374e-19
356.0,1.7234939814929175,0.8,3.441605286561631e-19
358.0,1.7462535563435262,0.8,1.1287824283455701e-18
360.0,1.7689459332370756,0.8,3.593688585516445e-18
362.0,1.7915675148484267,0.8,1.1114354779405869e-17
364.0,1.8141147973537481,0.8,3.34167633400936e-17
366.0,1.836584368184846,0.8,9.774486697684148e-17
368.0,1.858972903475679,0.8,2.7834081433571074e-16
370.0,1.8812771651656157,0.8,7.721615543883671e-16
372.0,1.903493997720986,0.8,2.088210040579081e-15
374.0,1.925620324433675,0.8,5.508748718763537e-15
376.0,1.9476531432533024,0.8,1.4184516376249686e-14
378.0,1.9695895221079593,0.8,3.56714798078077e-14
380.0,1.9914265936675368,0.8,8.766524691533557e-14
382.0,2.0131615495038537,0.8,2.10659469722368e-13
384.0,2.034791633602832,0.8,4.952473125478082e-13
